year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Thriller
2010,15.58,6.4,1.42,19.6,10.19,0.41,23.1,3.42,4.7,15.19
2011,13.63,5.63,1.16,19.23,6.89,0.32,23.91,3.22,5.53,20.49
2012,15.36,3.4,1.65,20.24,10.33,0.34,25.21,2.87,3.5,17.1
2013,15.67,4.92,1.53,13.56,12.13,0.21,31.5,1.44,4.82,14.22
2014,14.32,3.51,1.59,18.92,7.85,0.01,29.52,1.94,3.65,18.69
2015,12.81,7.3,1.47,17.93,8.86,0.01,32.2,1.8,4.64,12.97
2016,12.85,8.97,2.33,14.81,9.18,0.06,29.47,2.61,3.41,16.31
2017,12.3,5.57,1.85,14.72,13.1,0.12,29.67,2.48,4.26,15.94
2018,14.17,7.89,2.17,16.13,11.17,0.23,23.32,2.46,3.67,18.78
2019,11.75,7.31,3.03,18.58,6.21,0.01,27.33,5.14,6.62,14.02
2020,19.29,13.35,4.12,15.22,8.6,0.03,15.3,5.76,6.41,11.91
2021,15.02,10.11,4.48,10.49,8.03,0.1,21.4,5.04,7.34,17.99
2022,14.67,9.99,2.54,18.29,7.82,0.29,17.8,3.33,7.12,18.14
2023,16.01,10.8,3.07,18.55,6.8,0.03,19.81,2.35,4.98,17.61
2024,14.13,7.57,2.97,9.99,8.08,0.17,25.43,2.95,8.92,19.78
평균,14.5,7.52,2.36,16.42,9.02,0.16,25.0,3.12,5.3,16.61
최고점 (Max),19.29,13.35,4.48,20.24,13.1,0.41,32.2,5.76,8.92,20.49
최저점 (Min),11.75,3.4,1.16,9.99,6.21,0.01,15.3,1.44,3.41,11.91
